"","x"
"267","FBgn0050447"
"268","FBgn0265833"
"269","FBgn0265834"
"270","FBgn0266972"
"271","FBgn0034487"
"272","FBgn0265854"
"273","FBgn0034510"
"274","FBgn0034513"
"275","FBgn0265863"
"276","FBgn0265876"
"277","FBgn0263743"
"278","FBgn0265878"
"279","FBgn0034554"
"280","FBgn0050222"
"281","FBgn0053225"
"282","FBgn0034651"
"283","FBgn0265963"
"284","FBgn0034671"
"285","FBgn0050401"
"286","FBgn0005778"
"287","FBgn0034684"
"288","FBgn0263250"
"289","FBgn0263341"
"290","FBgn0266432"
"291","FBgn0266433"
"292","FBgn0034769"
"293","FBgn0263992"
"294","FBgn0050275"
"295","FBgn0050268"
"296","FBgn0266007"
"297","FBgn0045483"
"298","FBgn0034820"
"299","FBgn0034829"
"300","FBgn0034834"
"301","FBgn0050416"
"302","FBgn0050417"
"303","FBgn0034869"
"304","FBgn0034906"
"305","FBgn0004581"
"306","FBgn0034973"
"307","FBgn0264299"
"308","FBgn0264298"
"309","FBgn0264297"
"310","FBgn0061188"
"311","FBgn0266087"
"312","FBgn0266787"
"313","FBgn0262566"
"314","FBgn0050429"
"315","FBgn0265730"
"316","FBgn0035168"
"317","FBgn0052320"
"318","FBgn0043865"
"319","FBgn0052319"
"320","FBgn0013811"
"321","FBgn0052301"
"322","FBgn0052305"
"323","FBgn0035332"
"324","FBgn0262544"
"325","FBgn0263495"
"326","FBgn0263496"
"327","FBgn0267235"
"328","FBgn0052263"
"329","FBgn0266928"
"330","FBgn0266971"
"331","FBgn0035479"
"332","FBgn0264516"
"333","FBgn0266402"
"334","FBgn0267471"
"335","FBgn0265721"
"336","FBgn0035581"
"337","FBgn0052232"
"338","FBgn0265708"
"339","FBgn0265709"
"340","FBgn0265713"
"341","FBgn0265712"
"342","FBgn0035645"
"343","FBgn0267663"
"344","FBgn0266773"
"345","FBgn0266683"
"346","FBgn0267662"
"347","FBgn0052391"
"348","FBgn0035741"
"349","FBgn0266959"
"350","FBgn0035750"
"351","FBgn0063083"
"352","FBgn0261536"
"353","FBgn0261537"
"354","FBgn0035799"
"355","FBgn0035861"
"356","FBgn0266757"
"357","FBgn0266955"
"358","FBgn0267537"
"359","FBgn0266648"
"360","FBgn0267539"
"361","FBgn0011569"
"362","FBgn0267932"
"363","FBgn0262592"
"364","FBgn0085267"
"365","FBgn0036089"
"366","FBgn0266784"
"367","FBgn0052079"
"368","FBgn0265740"
"369","FBgn0052073"
"370","FBgn0054012"
"371","FBgn0036156"
"372","FBgn0053500"
"373","FBgn0036206"
"374","FBgn0036236"
"375","FBgn0265745"
"376","FBgn0052106"
"377","FBgn0036310"
"378","FBgn0036327"
"379","FBgn0036329"
"380","FBgn0266682"
"381","FBgn0263661"
"382","FBgn0266537"
"383","FBgn0265752"
"384","FBgn0036348"
"385","FBgn0036350"
"386","FBgn0267546"
"387","FBgn0036351"
"388","FBgn0262891"
"389","FBgn0267548"
"390","FBgn0036471"
"391","FBgn0036491"
"392","FBgn0036492"
"393","FBgn0263616"
"394","FBgn0266944"
"395","FBgn0036499"
"396","FBgn0004052"
"397","FBgn0260777"
"398","FBgn0264601"
"399","FBgn0036568"
"400","FBgn0036678"
"401","FBgn0263381"
"402","FBgn0036712"
"403","FBgn0036730"
"404","FBgn0261998"
"405","FBgn0267794"
"406","FBgn0266940"
"407","FBgn0265880"
"408","FBgn0266939"
"409","FBgn0085283"
"410","FBgn0264719"
"411","FBgn0036807"
"412","FBgn0036808"
"413","FBgn0265885"
"414","FBgn0036809"
"415","FBgn0036832"
"416","FBgn0266983"
"417","FBgn0267714"
"418","FBgn0036874"
"419","FBgn0265889"
"420","FBgn0036923"
